text,label
NASA is planning to return humans to the Moon by the end of the decade.,sci.space
The power forward played his 1000th career NHL game on Saturday.,rec.sport.hockey
A new poll shows majority of Americans support stricter gun control measures.,talk.politics.guns
Advocates call for smarter gun technology to prevent unauthorized use of firearms.,talk.politics.guns
The Supreme Court will hear arguments on the constitutionality of the new gun law.,talk.politics.guns
Researchers have developed a new vaccine that targets multiple strains of influenza.,sci.med
Law enforcement officials report a rise in illegal firearms being seized.,talk.politics.guns
The team recorded their best record in franchise history this season.,rec.sport.hockey
The Second Amendment protects the right to bear arms according to advocates.,talk.politics.guns
Some argue that armed citizens deter crime while others dispute the evidence.,talk.politics.guns
Hospitals are adopting telemedicine to reach patients in remote areas.,sci.med
The veteran captain led by example despite playing through pain.,rec.sport.hockey
The defenseman's slapshot has been clocked at over 100 miles per hour.,rec.sport.hockey
A new antibiotic compound has been discovered that resists bacterial resistance.,sci.med
New research suggests that asteroids could be mined for rare materials.,sci.space
Trade deadline moves have reshaped the roster for the playoff push.,rec.sport.hockey
The draft prospect was praised for his skating speed and vision.,rec.sport.hockey
Gun manufacturers are facing new liability laws in multiple states.,talk.politics.guns
A new prosthetic limb controlled by thought alone has been developed.,sci.med
Injuries to key players have hurt the team's chances of making the playoffs.,rec.sport.hockey
The satellite successfully entered its designated orbit after launch.,sci.space
The goalie made 45 saves to lead his team to victory last night.,rec.sport.hockey
The bill would ban assault-style weapons and high-capacity magazines.,talk.politics.guns
Background check databases have significant gaps that allow dangerous individuals to buy guns.,talk.politics.guns
Astronauts completed a six-hour spacewalk to repair the space station solar panels.,sci.space
The space shuttle successfully docked with the International Space Station.,sci.space
Youth hockey programs are growing rapidly across the country.,rec.sport.hockey
The defenseman was suspended three games for a high hit.,rec.sport.hockey
New analysis shows the Martian atmosphere was once much thicker.,sci.space
The team lost in overtime after a controversial no-call on a late penalty.,rec.sport.hockey
Scientists map the gravitational waves from two colliding black holes.,sci.space
The antibiotic was effective against previously drug-resistant bacteria.,sci.med
Surgeons performed the first successful robotic heart transplant.,sci.med
Researchers mapped the neural pathways involved in chronic pain.,sci.med
